ReportDate,ReportYear,ReportMonth,ReportDay,WeekNum,YearWeekNum,ReportYearISO,WeekNumISO,YearWeekNumISO,GrossSales,NetSales
2017-01-16,2017,1,2,3,2017-3,2017,3,2017-3,1008.02,944.66
2017-01-17,2017,1,3,3,2017-3,2017,3,2017-3,777.2,727.71
2017-01-18,2017,1,4,3,2017-3,2017,3,2017-3,1255.18,1176.07
2017-01-19,2017,1,5,3,2017-3,2017,3,2017-3,1148.53,1076.18
2017-01-20,2017,1,6,3,2017-3,2017,3,2017-3,2109.08,1975.39
2017-01-21,2017,1,7,3,2017-3,2017,3,2017-3,2168.95,2030.87
2017-01-22,2017,1,1,4,2017-4,2017,3,2017-3,2055.16,1925.75
2017-01-23,2017,1,2,4,2017-4,2017,4,2017-4,598.58,560.94
2017-01-24,2017,1,3,4,2017-4,2017,4,2017-4,1163.58,1089.95
2017-01-25,2017,1,4,4,2017-4,2017,4,2017-4,1097.27,1027.72
2017-01-26,2017,1,5,4,2017-4,2017,4,2017-4,1519.93,1423.73
2017-01-27,2017,1,6,4,2017-4,2017,4,2017-4,2364.64,2214.94
2017-01-28,2017,1,7,4,2017-4,2017,4,2017-4,1423.1,1333.75
2017-01-29,2017,1,1,5,2017-5,2017,4,2017-4,1752.61,1641.73
2017-01-30,2017,1,2,5,2017-5,2017,5,2017-5,1012.29,947.38
2017-01-31,2017,1,3,5,2017-5,2017,5,2017-5,1361.78,1274.96
2017-02-01,2017,2,4,5,2017-5,2017,5,2017-5,773.31,724.28
2017-02-02,2017,2,5,5,2017-5,2017,5,2017-5,1229.33,1151.53
2017-02-03,2017,2,6,5,2017-5,2017,5,2017-5,3075,2879.8
2017-02-04,2017,2,7,5,2017-5,2017,5,2017-5,2094.26,1961.7
2017-02-05,2017,2,1,6,2017-6,2017,5,2017-5,2108.54,1974.6
2017-02-06,2017,2,2,6,2017-6,2017,6,2017-6,794.45,744.11
2017-02-07,2017,2,3,6,2017-6,2017,6,2017-6,788.57,739.35
2017-02-08,2017,2,4,6,2017-6,2017,6,2017-6,1603.53,1501.85
2017-02-09,2017,2,5,6,2017-6,2017,6,2017-6,1861.81,1747.75
2017-02-10,2017,2,6,6,2017-6,2017,6,2017-6,2634.9,2468.73
2017-02-11,2017,2,7,6,2017-6,2017,6,2017-6,1656.51,1551.41
2017-02-12,2017,2,1,7,2017-7,2017,6,2017-6,1703.97,1597.55
2017-02-13,2017,2,2,7,2017-7,2017,7,2017-7,1648.88,1546.66
2017-02-14,2017,2,3,7,2017-7,2017,7,2017-7,958.41,898.3
2017-02-15,2017,2,4,7,2017-7,2017,7,2017-7,1103,1033.23
2017-02-16,2017,2,5,7,2017-7,2017,7,2017-7,1162.73,1088.79
2017-02-17,2017,2,6,7,2017-7,2017,7,2017-7,2392.32,2241.01
2017-02-18,2017,2,7,7,2017-7,2017,7,2017-7,1883.07,1764.1
2017-02-19,2017,2,1,8,2017-8,2017,7,2017-7,1849.04,1732.32
2017-02-20,2017,2,2,8,2017-8,2017,8,2017-8,1023.94,959.06
2017-02-21,2017,2,3,8,2017-8,2017,8,2017-8,1112.31,1041.79
2017-02-22,2017,2,4,8,2017-8,2017,8,2017-8,1086.2,1017.43
2017-02-23,2017,2,5,8,2017-8,2017,8,2017-8,1431.89,1340.91
2017-02-24,2017,2,6,8,2017-8,2017,8,2017-8,2451.46,2295.58
2017-02-25,2017,2,7,8,2017-8,2017,8,2017-8,2168.81,2031.04
2017-02-26,2017,2,1,9,2017-9,2017,8,2017-8,1202.88,1127.28
2017-02-27,2017,2,2,9,2017-9,2017,9,2017-9,721.81,676.48
2017-02-28,2017,2,3,9,2017-9,2017,9,2017-9,918.99,860.56
2017-03-01,2017,3,4,9,2017-9,2017,9,2017-9,1468.54,1374.77
2017-03-02,2017,3,5,9,2017-9,2017,9,2017-9,997.55,934.12
2017-03-03,2017,3,6,9,2017-9,2017,9,2017-9,2933.51,2747.12
2017-03-04,2017,3,7,9,2017-9,2017,9,2017-9,1998.65,1871.9
2017-03-05,2017,3,1,10,2017-10,2017,9,2017-9,1848.41,1732.11
2017-03-06,2017,3,2,10,2017-10,2017,10,2017-10,760.55,712
2017-03-07,2017,3,3,10,2017-10,2017,10,2017-10,914.93,857.14
2017-03-08,2017,3,4,10,2017-10,2017,10,2017-10,939.29,879.83
2017-03-09,2017,3,5,10,2017-10,2017,10,2017-10,1267.13,1187.07
2017-03-10,2017,3,6,10,2017-10,2017,10,2017-10,2563.09,2400.4
2017-03-11,2017,3,7,10,2017-10,2017,10,2017-10,1678.49,1572.3
2017-03-12,2017,3,1,11,2017-11,2017,10,2017-10,1486.92,1393.27
2017-03-13,2017,3,2,11,2017-11,2017,11,2017-11,1062.2,994.43
2017-03-14,2017,3,3,11,2017-11,2017,11,2017-11,906.14,851.54
2017-03-15,2017,3,4,11,2017-11,2017,11,2017-11,967.61,906.1
2017-03-16,2017,3,5,11,2017-11,2017,11,2017-11,1308.71,1225.37
2017-03-17,2017,3,6,11,2017-11,2017,11,2017-11,2357.59,2208.91
2017-03-18,2017,3,7,11,2017-11,2017,11,2017-11,2087.68,1955.62
